id_localidad,localidad,padre,id_municipio,localidad_activo
263,Paseo el Greco,,2,1
264,Pedro Duarte Contreras,,2,1
265,Petra de Ozorni,,2,1
266,Piedra Bola,,2,1
267,Pitaycachi,,2,1
268,Plaza Ortiz,,2,1
269,Puerta Blanca,,2,1
270,Puerto San Luis (Restaurante),,2,1
271,Quinta Chilla (Quinta Chía),,2,1
272,Rafael Contreras Lizárraga,,2,1
273,Ramón Álvarez,,2,1
274,Ramón Oquita Montenegro (La Cieneguita),,2,1
275,Ramón Sosa,,2,1
276,Ramón Tapia,,2,1
277,Ranchet de la Colina,,2,1
278,Rancho Bacaparra,,2,1
279,Rancho Bacaparra,,2,1
280,Rancho Casa de Piedra,,2,1
281,Rancho Corrales,,2,1
282,Rancho de las Borregas,,2,1
283,Rancho de Toño,,2,1
284,Rancho Francisco Montoya,,2,1
285,Rancho Gallardo,,2,1
286,Rancho Grande,,2,1
287,Rancho Katib,,2,1
288,Rancho Kilómetro Nueve,,2,1
289,Rancho la Tinaja,,2,1
290,Rancho Nuevo,,2,1
291,Rancho Nuevo el Cachetón,,2,1
292,Rancho San Juan,,2,1
293,Rancho Seco,,2,1
294,Raúl Ortega Morales,,2,1
295,René Luna,,2,1
296,Represo,,2,1
297,Reynaldo Moreno Andrade,,2,1
298,Ricardo Cornídez,,2,1
299,Ricardo Dórame Madrid (Kilómetro Trece),,2,1
300,Roberto López (La Virgen),,2,1
301,Roberto Olivares Duarte,,2,1
302,Roberto Salcido,,2,1
303,Rodimiro Álvarez,,2,1
304,Roque Quintana,,2,1
305,Rubén de la Cruz,,2,1
306,Salsipuedes,,2,1
307,San Antonio,,2,1
308,San Bernardino,,2,1
309,San Carlos,,2,1
310,San Fernando,,2,1
311,San Francisco,,2,1
312,San Isidro (El Bacatete),,2,1
313,San Martín,,2,1
314,San Pedro,,2,1
315,Santa Cecilia,,2,1
316,Santa Cruz,,2,1
317,Santiago García,,2,1
318,Sergio Quijada,,2,1
319,Taller Dávila,,2,1
320,Tres en Uno (Las Palapas),,2,1
321,Unión Ganadera,,2,1
322,Valvina,,2,1
323,Vicente Licea Márquez,,2,1
324,Victoriano Enríquez,,2,1
325,Yeguada el Fraile,,2,1
326,Yolanda Renoba Ibarra,,2,1
327,Yunque,,2,1
328,Yunque Antonio Hernández,,2,1
329,20 de Marzo,,3,1
330,20 de Marzo Uno,,3,1
331,Abachapa,,3,1
332,Agua Blanca,,3,1
333,Agua Caliente de Antero (Agua Caliente),,3,1
334,Agua Fría,,3,1
335,Agua Nueva,,3,1
336,Agua Salada,,3,1
337,Agua Tapada,,3,1
338,Aguaje del Chino,,3,1
339,Alamos,,3,1
340,Anáhuac,,3,1
341,Antonico,,3,1
342,Aquinavo,,3,1
343,Argentina,,3,1
344,Arnoldo Acosta,,3,1
345,Arroyo Hondo,,3,1
346,Baboyagui,,3,1
347,Bacajaqui,,3,1
348,Bacamaya,,3,1
349,Bachaca,,3,1
350,Barumico,,3,1
351,Basiroa,,3,1
352,Batarimocha,,3,1
353,Bavícora,,3,1
354,Belduque,,3,1
355,Bellavista,,3,1
356,Buenavista,,3,1
357,Burapaco,,3,1
358,Burapaquito,,3,1
359,California (La Asina),,3,1
